,precision,recall,f1-score,support
High,0.8392857142857143,0.8867924528301887,0.8623853211009175,106.0
Medium-high,0.5094339622641509,0.54,0.5242718446601942,50.0
Medium,0.8571428571428571,0.8235294117647058,0.84,306.0
Low,0.7887323943661971,0.8057553956834532,0.797153024911032,139.0
accuracy,0.8069883527454242,0.8069883527454242,0.8069883527454242,0.8069883527454242
macro avg,0.7486487320147298,0.764019315069587,0.7559525476680359,601.0
weighted avg,0.8092437619469367,0.8069883527454242,0.8077715586228625,601.0
