,precision,recall,f1-score,support
1,0.7857142857142857,0.8301886792452831,0.8073394495412844,106.0
2,0.49019607843137253,0.5,0.49504950495049505,50.0
3,0.831081081081081,0.803921568627451,0.8172757475083057,306.0
4,0.7746478873239436,0.7913669064748201,0.7829181494661922,139.0
accuracy,0.7803660565723793,0.7803660565723793,0.7803660565723793,0.7803660565723793
macro avg,0.7204098331376707,0.7313692885868885,0.7256457128665693,601.0
weighted avg,0.7816678624893875,0.7803660565723793,0.7807694815511533,601.0
