# time  ID  size  fromHost  toHost  TTL  isResponse
6098.0000 HM134 133548 p47 r70 300 N 
6149.0000 HM135 360885 p13 r67 300 N 
6198.0000 HM136 122537 p30 r64 300 N 
6254.0000 HM137 246783 p58 r76 300 N 
6308.0000 HM138 112159 p13 r73 300 N 
6368.0000 HM139 290760 p41 r66 300 N 
6427.0000 HM140 142734 p5 r61 300 N 
6484.0000 HM141 448280 p59 r64 300 N 
6518.0000 HM142 202193 p54 r69 300 N 
6549.0000 HM143 498367 p33 r77 300 N 
6593.0000 HM144 119354 p45 r76 300 N 
6633.0000 HM145 213756 p34 r61 300 N 
6690.0000 HM146 338579 p10 r60 300 N 
6744.0000 HM147 240051 p25 r77 300 N 
6787.0000 HM148 328916 p49 r67 300 N 
6834.0000 HM149 226383 p16 r66 300 N 
6882.0000 HM150 282117 p18 r75 300 N 
6939.0000 HM151 185452 p44 r64 300 N 
6969.0000 HM152 103579 p38 r75 300 N 
7014.0000 HM153 426784 p24 r69 300 N 
7064.0000 HM154 307673 p21 r63 300 N 
7108.0000 HM155 430191 p48 r69 300 N 
7166.0000 HM156 150547 p12 r76 300 N 
7225.0000 HM157 373271 p20 r79 300 N 
7280.0000 HM158 102042 p10 r72 300 N 
7324.0000 HM159 452215 p17 r75 300 N 
7381.0000 HM160 418491 p4 r65 300 N 
7413.0000 HM161 177650 p16 r69 300 N 
7463.0000 HM162 464262 p4 r64 300 N 
7501.0000 HM163 188399 p34 r71 300 N 
7538.0000 HM164 128928 p4 r68 300 N 
7589.0000 HM165 330006 p0 r66 300 N 
7642.0000 HM166 363599 p5 r62 300 N 
7699.0000 HM167 138068 p9 r79 300 N 
7735.0000 HM168 121314 p50 r72 300 N 
7792.0000 HM169 483427 p41 r67 300 N 
7847.0000 HM170 332876 p31 r65 300 N 
7886.0000 HM171 317487 p21 r77 300 N 
7917.0000 HM172 349565 p7 r63 300 N 
7970.0000 HM173 229857 p31 r73 300 N 
8025.0000 HM174 334701 p31 r70 300 N 
8069.0000 HM175 339162 p30 r78 300 N 
8104.0000 HM176 496121 p32 r76 300 N 
8138.0000 HM177 187837 p32 r67 300 N 
8179.0000 HM178 345461 p29 r72 300 N 
8232.0000 HM179 426143 p5 r68 300 N 
8271.0000 HM180 166453 p12 r60 300 N 
8301.0000 HM181 121324 p4 r67 300 N 
8352.0000 HM182 473125 p26 r71 300 N 
8405.0000 HM183 436761 p35 r76 300 N 
8440.0000 HM184 219604 p52 r79 300 N 
8487.0000 HM185 414847 p24 r79 300 N 
8529.0000 HM186 315770 p23 r61 300 N 
8574.0000 HM187 199786 p58 r76 300 N 
8604.0000 HM188 273005 p30 r64 300 N 
8653.0000 HM189 202032 p22 r69 300 N 
8691.0000 HM190 422696 p55 r70 300 N 
8738.0000 HM191 339237 p38 r76 300 N 
8781.0000 HM192 133601 p13 r74 300 N 
8829.0000 HM193 297075 p49 r74 300 N 
8862.0000 HM194 247045 p43 r79 300 N 
8903.0000 HM195 432131 p8 r70 300 N 
8952.0000 HM196 277086 p29 r63 300 N 
9005.0000 HM197 453322 p32 r63 300 N 
9046.0000 HM198 338966 p47 r76 300 N 
9076.0000 HM199 223389 p24 r64 300 N 
9128.0000 HM200 463164 p21 r67 300 N 
9173.0000 HM201 358991 p35 r74 300 N 
9223.0000 HM202 220599 p32 r67 300 N 
9257.0000 HM203 188003 p33 r63 300 N 
9300.0000 HM204 238215 p22 r67 300 N 
9357.0000 HM205 197308 p12 r71 300 N 
9413.0000 HM206 368803 p51 r72 300 N 
9452.0000 HM207 114347 p52 r76 300 N 
9501.0000 HM208 183583 p54 r64 300 N 
9533.0000 HM209 366825 p4 r73 300 N 
9588.0000 HM210 303953 p37 r77 300 N 
9626.0000 HM211 419902 p19 r72 300 N 
9666.0000 HM212 227888 p58 r75 300 N 
9725.0000 HM213 299881 p38 r65 300 N 
9771.0000 HM214 349500 p43 r76 300 N 
9828.0000 HM215 409213 p37 r62 300 N 
9864.0000 HM216 332228 p49 r73 300 N 
9917.0000 HM217 496322 p12 r60 300 N 
9977.0000 HM218 374364 p53 r67 300 N 
10009.0000 HM219 156356 p22 r60 300 N 
10046.0000 HM220 271878 p16 r68 300 N 
10080.0000 HM221 132637 p23 r64 300 N 
10117.0000 HM222 193458 p59 r66 300 N 
10156.0000 HM223 256092 p9 r71 300 N 
10188.0000 HM224 105847 p23 r72 300 N 
10245.0000 HM225 485906 p51 r68 300 N 
10282.0000 HM226 340639 p29 r61 300 N 
10340.0000 HM227 276776 p11 r64 300 N 
10393.0000 HM228 189926 p10 r70 300 N 
10428.0000 HM229 129803 p56 r66 300 N 
10479.0000 HM230 101930 p49 r60 300 N 
10532.0000 HM231 478888 p44 r69 300 N 
10565.0000 HM232 250011 p20 r76 300 N 
10599.0000 HM233 391848 p2 r75 300 N 
10640.0000 HM234 209652 p41 r60 300 N 
10672.0000 HM235 499162 p51 r73 300 N 
10715.0000 HM236 373095 p13 r64 300 N 
10759.0000 HM237 320514 p6 r60 300 N 
10809.0000 HM238 219118 p21 r70 300 N 
10856.0000 HM239 324212 p15 r69 300 N 
10900.0000 HM240 247064 p23 r63 300 N 
10936.0000 HM241 447015 p24 r63 300 N 
10984.0000 HM242 389565 p14 r67 300 N 
11028.0000 HM243 319734 p58 r77 300 N 
11084.0000 HM244 369662 p2 r62 300 N 
11135.0000 HM245 374287 p43 r77 300 N 
11187.0000 HM246 164292 p46 r69 300 N 
11234.0000 HM247 478616 p25 r71 300 N 
11275.0000 HM248 334725 p57 r79 300 N 
11313.0000 HM249 184250 p59 r74 300 N 
11356.0000 HM250 473134 p13 r66 300 N 
11403.0000 HM251 274170 p11 r73 300 N 
11444.0000 HM252 463741 p9 r73 300 N 
11478.0000 HM253 269863 p6 r76 300 N 
11511.0000 HM254 439753 p20 r70 300 N 
11542.0000 HM255 354528 p13 r65 300 N 
11578.0000 HM256 212805 p4 r71 300 N 
11620.0000 HM257 225041 p32 r64 300 N 
11658.0000 HM258 483836 p38 r71 300 N 
11693.0000 HM259 331837 p49 r74 300 N 
11732.0000 HM260 179859 p22 r75 300 N 
11784.0000 HM261 306993 p16 r79 300 N 
11823.0000 HM262 260752 p33 r62 300 N 
11881.0000 HM263 331691 p31 r64 300 N 
11928.0000 HM264 145653 p54 r76 300 N 
11962.0000 HM265 447682 p30 r71 300 N 
12022.0000 HM266 326245 p51 r63 300 N 
12079.0000 HM267 457504 p5 r70 300 N 
12133.0000 HM268 389061 p55 r72 300 N 
12167.0000 HM269 212122 p24 r67 300 N 
12221.0000 HM270 375054 p56 r65 300 N 
12272.0000 HM271 287230 p7 r75 300 N 
12325.0000 HM272 102875 p35 r79 300 N 
12377.0000 HM273 464843 p33 r62 300 N 
12425.0000 HM274 492988 p30 r69 300 N 
12465.0000 HM275 493068 p14 r67 300 N 
12523.0000 HM276 224004 p2 r63 300 N 
12583.0000 HM277 131007 p8 r68 300 N 
12634.0000 HM278 396554 p6 r64 300 N 
12675.0000 HM279 146890 p35 r79 300 N 
12720.0000 HM280 470641 p31 r64 300 N 
12767.0000 HM281 355205 p24 r73 300 N 
12799.0000 HM282 412067 p51 r69 300 N 
12831.0000 HM283 422330 p22 r74 300 N 
12876.0000 HM284 309296 p25 r72 300 N 
12923.0000 HM285 258102 p3 r79 300 N 
12959.0000 HM286 315464 p0 r70 300 N 
12997.0000 HM287 496720 p56 r64 300 N 
13031.0000 HM288 157509 p12 r68 300 N 
13089.0000 HM289 268951 p10 r72 300 N 
13134.0000 HM290 252829 p45 r66 300 N 
13172.0000 HM291 397320 p50 r62 300 N 
13226.0000 HM292 429001 p9 r64 300 N 
13285.0000 HM293 217359 p32 r63 300 N 
13324.0000 HM294 372474 p11 r76 300 N 
13381.0000 HM295 210377 p34 r73 300 N 
13434.0000 HM296 365409 p17 r78 300 N 
13488.0000 HM297 463370 p19 r76 300 N 
13534.0000 HM298 372572 p36 r63 300 N 
13592.0000 HM299 208544 p55 r72 300 N 
13626.0000 HM300 239817 p50 r78 300 N 
13658.0000 HM301 457329 p0 r71 300 N 
13717.0000 HM302 492082 p13 r73 300 N 
13762.0000 HM303 416342 p53 r75 300 N 
13804.0000 HM304 234519 p35 r61 300 N 
13856.0000 HM305 263494 p17 r79 300 N 
13944.0000 HM307 214088 p58 r78 300 N 
14000.0000 HM308 367487 p26 r61 300 N 
14054.0000 HM309 170245 p1 r76 300 N 
14087.0000 HM310 167676 p34 r76 300 N 
14147.0000 HM311 462229 p48 r68 300 N 
14199.0000 HM312 490110 p48 r63 300 N 
14250.0000 HM313 462812 p42 r75 300 N 
14285.0000 HM314 330209 p13 r63 300 N 
14343.0000 HM315 124082 p28 r64 300 N 
14385.0000 HM316 148056 p29 r73 300 N 
14444.0000 HM317 331442 p43 r78 300 N 
14481.0000 HM318 109447 p5 r78 300 N 
14513.0000 HM319 151795 p5 r65 300 N 
14569.0000 HM320 340483 p30 r60 300 N 
14617.0000 HM321 241576 p4 r79 300 N 
14659.0000 HM322 116859 p47 r76 300 N 
14719.0000 HM323 428309 p28 r66 300 N 
14779.0000 HM324 120977 p59 r61 300 N 
14809.0000 HM325 153090 p13 r65 300 N 
14858.0000 HM326 264977 p28 r66 300 N 
14913.0000 HM327 333960 p53 r66 300 N 
14964.0000 HM328 279316 p17 r70 300 N 
15012.0000 HM329 195914 p14 r69 300 N 
15058.0000 HM330 431585 p34 r66 300 N 
