# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
5180.0000 HM109 231313 2 231.0000 p40 r68 296 N p40->p35->r68
5289.0000 HM116 465165 2 31.0000 p59 r66 299 N p59->p56->r66
5379.0000 HM102 370815 1 771.0000 p19 r69 287 N p19->r69
5386.0000 HM68 306866 1 2348.0000 p19 r69 260 N p19->r69
5529.0000 HM99 355131 3 1059.0000 p51 r74 282 N p51->p52->r75->r74
5561.0000 HM79 444715 2 2008.0000 p10 r77 266 N p10->p52->r77
5580.0000 HM111 382298 3 552.0000 p40 r65 290 N p40->p42->r68->r65
5725.0000 HM81 476406 2 2097.0000 p25 r79 265 N p25->r61->r79
5842.0000 HM115 347235 2 640.0000 p35 r72 289 N p35->r68->r72
5889.0000 HM118 408463 3 518.0000 p2 r72 291 N p2->r67->v83->r72
5922.0000 HM105 145142 3 1150.0000 p1 r78 280 N p1->v88->p9->r78
5948.0000 HM90 290162 1 1890.0000 p32 r76 268 N p32->r76
5988.0000 HM94 485855 2 1742.0000 p35 r75 270 N p35->r60->r75
6011.0000 HM125 321313 3 327.0000 p0 r78 294 N p0->p27->v87->r78
6012.0000 HM117 366708 2 698.0000 p47 r72 288 N p47->r79->r72
6066.0000 HM85 392978 2 2244.0000 p10 r79 262 N p10->v81->r79
6143.0000 HM97 175307 3 1753.0000 p13 r64 270 N p13->r61->v83->r64
6268.0000 HM93 329818 2 2067.0000 p7 r69 265 N p7->v82->r69
6290.0000 HM80 429270 2 2706.0000 p29 r75 254 N p29->v94->r75
6333.0000 HM104 278608 1 1618.0000 p36 r61 273 N p36->r61
6384.0000 HM39 433973 1 4631.0000 p58 r72 222 N p58->r72
6451.0000 HM138 112159 2 143.0000 p13 r73 297 N p13->v87->r73
6537.0000 HM121 184228 2 1034.0000 p46 r72 282 N p46->v92->r72
6567.0000 HM106 359043 2 1760.0000 p43 r68 270 N p43->v92->r68
6601.0000 HM128 306492 2 778.0000 p40 r63 287 N p40->v90->r63
6606.0000 HM86 487223 1 2736.0000 p8 r72 254 N p8->r72
6611.0000 HM126 451734 2 877.0000 p42 r68 285 N p42->v84->r68
6613.0000 HM122 324684 2 1072.0000 p56 r72 282 N p56->p8->r72
6858.0000 HM127 211566 2 1087.0000 p14 r60 281 N p14->v94->r60
6929.0000 HM113 299191 2 1833.0000 p19 r61 269 N p19->p44->r61
6974.0000 HM95 171512 3 2668.0000 p39 r73 255 N p39->v82->v85->r73
6977.0000 HM103 112234 3 2316.0000 p37 r73 261 N p37->p9->v85->r73
6980.0000 HM124 342907 3 1351.0000 p54 r61 277 N p54->v94->p50->r61
7005.0000 HM144 119354 3 412.0000 p45 r76 293 N p45->p39->v80->r76
7022.0000 HM92 413785 3 2871.0000 p26 r73 252 N p26->p34->p51->r73
7031.0000 HM57 453848 2 4476.0000 p37 r71 225 N p37->v86->r71
7092.0000 HM134 133548 2 994.0000 p47 r70 283 N p47->v92->r70
7138.0000 HM151 185452 3 199.0000 p44 r64 296 N p44->p31->r73->r64
7141.0000 HM145 213756 3 508.0000 p34 r61 291 N p34->p1->v92->r61
7175.0000 HM130 345036 2 1255.0000 p43 r73 279 N p43->v93->r73
7191.0000 HM110 436765 2 2207.0000 p19 r62 263 N p19->v92->r62
7227.0000 HM133 274687 2 1165.0000 p26 r63 280 N p26->v91->r63
7247.0000 HM149 226383 2 413.0000 p16 r66 293 N p16->r67->r66
7255.0000 HM107 246277 2 2401.0000 p4 r64 259 N p4->v90->r64
7256.0000 HM129 440131 2 1391.0000 p48 r66 276 N p48->r67->r66
7299.0000 HM132 386066 2 1281.0000 p34 r76 278 N p34->p3->r76
7301.0000 HM98 154466 2 2877.0000 p24 r65 252 N p24->p16->r65
7305.0000 HM137 246783 2 1051.0000 p58 r76 282 N p58->v94->r76
7362.0000 HM131 384855 3 1382.0000 p52 r75 276 N p52->p38->r72->r75
7432.0000 HM146 338579 2 742.0000 p10 r60 287 N p10->v84->r60
7449.0000 HM158 102042 2 169.0000 p10 r72 297 N p10->v81->r72
7540.0000 HM112 327288 3 2480.0000 p56 r69 258 N p56->v90->p7->r69
7545.0000 HM136 122537 2 1347.0000 p30 r64 277 N p30->v94->r64
7611.0000 HM153 426784 3 597.0000 p24 r69 290 N p24->p1->v88->r69
7632.0000 HM62 447462 2 4856.0000 p22 r64 219 N p22->v88->r64
