# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
5665.0000 HM112 327288 2 605.0000 p56 r69 289 N p56->p48->r69
5699.0000 HM118 408463 2 328.0000 p2 r72 294 N p2->v82->r72
5741.0000 HM102 370815 2 1133.0000 p19 r69 281 N p19->p42->r69
5750.0000 HM67 300291 2 2766.0000 p28 r67 253 N p28->v91->r67
5795.0000 HM95 171512 1 1489.0000 p39 r73 275 N p39->r73
5884.0000 HM115 347235 2 682.0000 p35 r72 288 N p35->v93->r72
5914.0000 HM117 366708 2 600.0000 p47 r72 290 N p47->v85->r72
5972.0000 HM121 184228 1 469.0000 p46 r72 292 N p46->r72
5997.0000 HM110 436765 2 1013.0000 p19 r62 283 N p19->r75->r62
6044.0000 HM93 329818 2 1843.0000 p7 r69 269 N p7->r74->r69
6063.0000 HM127 211566 3 292.0000 p14 r60 295 N p14->p55->v86->r60
6139.0000 HM83 310200 2 2409.0000 p11 r70 259 N p11->v91->r70
6139.0000 HM123 303886 1 540.0000 p50 r67 291 N p50->r67
6165.0000 HM31 101950 2 4772.0000 p3 r72 220 N p3->r75->r72
6198.0000 HM124 342907 2 569.0000 p54 r61 290 N p54->v91->r61
6292.0000 HM116 465165 3 1034.0000 p59 r66 282 N p59->p13->v85->r66
6297.0000 HM36 451981 2 4683.0000 p8 r74 221 N p8->p54->r74
6307.0000 HM108 477660 3 1399.0000 p7 r74 276 N p7->p55->p54->r74
6313.0000 HM103 112234 3 1652.0000 p37 r73 272 N p37->p26->v80->r73
6352.0000 HM111 382298 2 1324.0000 p40 r65 277 N p40->p18->r65
6432.0000 HM135 360885 2 283.0000 p13 r67 295 N p13->p30->r67
6451.0000 HM132 386066 2 433.0000 p34 r76 292 N p34->v86->r76
6506.0000 HM19 140398 1 5651.0000 p51 r65 205 N p51->r65
6552.0000 HM107 246277 2 1698.0000 p4 r64 271 N p4->p36->r64
6606.0000 HM125 321313 2 922.0000 p0 r78 284 N p0->v88->r78
6660.0000 HM106 359043 3 1853.0000 p43 r68 269 N p43->p11->v88->r68
6665.0000 HM142 202193 3 147.0000 p54 r69 297 N p54->p7->r60->r69
6700.0000 HM128 306492 1 877.0000 p40 r63 285 N p40->r63
6708.0000 HM129 440131 2 843.0000 p48 r66 285 N p48->p25->r66
6785.0000 HM6 420844 3 6519.0000 p15 r61 191 N p15->p27->r75->r61
6815.0000 HM140 142734 2 388.0000 p5 r61 293 N p5->v86->r61
6909.0000 HM61 399562 1 4178.0000 p21 r65 230 N p21->r65
6948.0000 HM86 487223 2 3078.0000 p8 r72 248 N p8->v80->r72
6955.0000 HM122 324684 3 1414.0000 p56 r72 276 N p56->p42->v80->r72
6956.0000 HM151 185452 1 17.0000 p44 r64 299 N p44->r64
6973.0000 HM91 147651 3 2867.0000 p14 r69 252 N p14->r61->p38->r69
7077.0000 HM30 232834 1 5717.0000 p46 r73 204 N p46->r73
7086.0000 HM14 405435 3 6438.0000 p1 r73 192 N p1->r62->p21->r73
7087.0000 HM133 274687 2 1025.0000 p26 r63 282 N p26->v82->r63
7097.0000 HM138 112159 3 789.0000 p13 r73 286 N p13->p38->v86->r73
7143.0000 HM113 299191 2 2047.0000 p19 r61 265 N p19->v93->r61
7268.0000 HM85 392978 2 3446.0000 p10 r79 242 N p10->r68->r79
7284.0000 HM109 231313 2 2335.0000 p40 r68 261 N p40->v85->r68
7423.0000 HM82 323268 1 3746.0000 p28 r72 237 N p28->r72
7440.0000 HM156 150547 3 274.0000 p12 r76 295 N p12->v86->v85->r76
7494.0000 HM131 384855 3 1514.0000 p52 r75 274 N p52->r71->v89->r75
7583.0000 HM119 402039 1 2173.0000 p20 r79 263 N p20->r79
7591.0000 HM157 373271 1 366.0000 p20 r79 293 N p20->r79
7674.0000 HM58 248263 2 5085.0000 p21 r75 215 N p21->p39->r75
7686.0000 HM139 290760 2 1318.0000 p41 r66 278 N p41->r69->r66
7702.0000 HM158 102042 2 422.0000 p10 r72 292 N p10->r78->r72
7727.0000 HM159 452215 2 403.0000 p17 r75 293 N p17->r74->r75
7730.0000 HM153 426784 2 716.0000 p24 r69 288 N p24->p48->r69
7739.0000 HM155 430191 1 631.0000 p48 r69 289 N p48->r69
7761.0000 HM152 103579 2 792.0000 p38 r75 286 N p38->r72->r75
7830.0000 HM167 138068 3 131.0000 p9 r79 297 N p9->p38->r61->r79
7846.0000 HM162 464262 2 383.0000 p4 r64 293 N p4->v88->r64
7922.0000 HM161 177650 3 509.0000 p16 r69 291 N p16->r77->r64->r69
7926.0000 HM146 338579 1 1236.0000 p10 r60 279 N p10->r60
7997.0000 HM148 328916 2 1210.0000 p49 r67 279 N p49->v94->r67
8014.0000 HM154 307673 1 950.0000 p21 r63 284 N p21->r63
8027.0000 HM141 448280 2 1543.0000 p59 r64 274 N p59->p57->r64
8038.0000 HM101 326839 1 3481.0000 p3 r69 241 N p3->r69
8157.0000 HM88 264741 2 4195.0000 p25 r68 230 N p25->r76->r68
8197.0000 HM165 330006 3 608.0000 p0 r66 289 N p0->p56->v88->r66
8330.0000 HM172 349565 1 413.0000 p7 r63 293 N p7->r63
8433.0000 HM160 418491 2 1052.0000 p4 r65 282 N p4->v81->r65
8451.0000 HM170 332876 2 604.0000 p31 r65 289 N p31->v94->r65
8511.0000 HM175 339162 2 442.0000 p30 r78 292 N p30->p20->r78
