# time  ID  size  fromHost  toHost  TTL  isResponse
12467.0000 M139 407091 p34 r69 300 N 
12573.0000 M140 192720 p24 r61 300 N 
12669.0000 M141 127788 p32 r65 300 N 
12785.0000 M142 325726 p22 r64 300 N 
12845.0000 M143 331013 p44 r68 300 N 
12955.0000 M144 363690 p29 r72 300 N 
13028.0000 M145 231105 p57 r68 300 N 
13124.0000 M146 305487 p10 r69 300 N 
13187.0000 M147 107429 p38 r75 300 N 
13278.0000 M148 325450 p5 r71 300 N 
13387.0000 M149 486647 p50 r61 300 N 
13462.0000 M150 119739 p51 r60 300 N 
13577.0000 M151 336319 p45 r78 300 N 
13658.0000 M152 338468 p42 r68 300 N 
13770.0000 M153 461960 p29 r71 300 N 
13878.0000 M154 495784 p36 r68 300 N 
13965.0000 M155 162207 p21 r74 300 N 
14034.0000 M156 288589 p19 r74 300 N 
14113.0000 M157 460115 p37 r64 300 N 
14222.0000 M158 252730 p29 r77 300 N 
14294.0000 M159 265139 p14 r72 300 N 
14406.0000 M160 481657 p33 r67 300 N 
14475.0000 M161 396114 p34 r62 300 N 
14536.0000 M162 239285 p59 r71 300 N 
14638.0000 M163 126214 p55 r63 300 N 
14720.0000 M164 272765 p0 r61 300 N 
14809.0000 M165 326052 p23 r73 300 N 
14907.0000 M166 227967 p52 r79 300 N 
14994.0000 M167 149317 p18 r73 300 N 
15113.0000 M168 154957 p17 r75 300 N 
15198.0000 M169 198916 p11 r66 300 N 
15273.0000 M170 302107 p58 r77 300 N 
15354.0000 M171 382141 p56 r65 300 N 
15446.0000 M172 362878 p5 r76 300 N 
15554.0000 M173 129743 p38 r65 300 N 
15660.0000 M174 437933 p35 r66 300 N 
15774.0000 M175 218459 p6 r78 300 N 
15847.0000 M176 245444 p48 r65 300 N 
15922.0000 M177 236674 p21 r75 300 N 
16028.0000 M178 388860 p28 r78 300 N 
16134.0000 M179 115625 p29 r74 300 N 
16218.0000 M180 201076 p42 r79 300 N 
16308.0000 M181 435256 p13 r72 300 N 
16425.0000 M182 436202 p44 r70 300 N 
16544.0000 M183 127190 p0 r63 300 N 
16612.0000 M184 440578 p0 r70 300 N 
16708.0000 M185 472495 p54 r65 300 N 
16778.0000 M186 469757 p0 r75 300 N 
16858.0000 M187 317614 p21 r72 300 N 
16953.0000 M188 476547 p55 r66 300 N 
17027.0000 M189 284866 p28 r65 300 N 
17134.0000 M190 336985 p33 r67 300 N 
17212.0000 M191 197020 p39 r79 300 N 
17299.0000 M192 233643 p42 r65 300 N 
17362.0000 M193 108399 p41 r63 300 N 
17476.0000 M194 237123 p47 r66 300 N 
17548.0000 M195 217519 p28 r71 300 N 
17619.0000 M196 449359 p27 r69 300 N 
17680.0000 M197 261202 p44 r65 300 N 
17771.0000 M198 116894 p7 r66 300 N 
17845.0000 M199 261777 p59 r67 300 N 
17918.0000 M200 368739 p54 r66 300 N 
18010.0000 M201 437543 p2 r62 300 N 
18094.0000 M202 273392 p45 r61 300 N 
18167.0000 M203 125456 p6 r68 300 N 
18240.0000 M204 166524 p51 r65 300 N 
18302.0000 M205 444875 p4 r72 300 N 
18381.0000 M206 262621 p46 r62 300 N 
18468.0000 M207 476697 p33 r74 300 N 
18580.0000 M208 197966 p19 r61 300 N 
18680.0000 M209 124475 p26 r70 300 N 
18778.0000 M210 395690 p34 r67 300 N 
18894.0000 M211 192694 p44 r75 300 N 
18954.0000 M212 130350 p3 r77 300 N 
19060.0000 M213 238354 p48 r65 300 N 
19121.0000 M214 255418 p45 r75 300 N 
19227.0000 M215 312854 p56 r65 300 N 
19325.0000 M216 227216 p31 r70 300 N 
19423.0000 M217 109966 p16 r62 300 N 
19485.0000 M218 264723 p53 r68 300 N 
19556.0000 M219 395653 p29 r68 300 N 
19658.0000 M220 342665 p19 r61 300 N 
19753.0000 M221 452618 p37 r66 300 N 
19816.0000 M222 481369 p6 r65 300 N 
19930.0000 M223 417135 p24 r76 300 N 
20042.0000 M224 377933 p24 r78 300 N 
20141.0000 M225 129412 p20 r67 300 N 
20231.0000 M226 319313 p59 r60 300 N 
20296.0000 M227 219872 p33 r70 300 N 
20374.0000 M228 364849 p6 r77 300 N 
20434.0000 M229 445592 p53 r60 300 N 
20513.0000 M230 349534 p27 r68 300 N 
20601.0000 M231 490246 p54 r67 300 N 
20699.0000 M232 150058 p39 r67 300 N 
20769.0000 M233 455810 p22 r72 300 N 
20852.0000 M234 240646 p32 r71 300 N 
20947.0000 M235 469420 p45 r74 300 N 
21035.0000 M236 390219 p46 r77 300 N 
21137.0000 M237 184992 p22 r66 300 N 
21243.0000 M238 199405 p12 r64 300 N 
21338.0000 M239 495679 p52 r77 300 N 
21398.0000 M240 253769 p28 r63 300 N 
21465.0000 M241 172652 p23 r67 300 N 
21531.0000 M242 244056 p40 r66 300 N 
21615.0000 M243 310860 p16 r63 300 N 
21682.0000 M244 466809 p9 r65 300 N 
21754.0000 M245 417669 p52 r62 300 N 
21826.0000 M246 448939 p59 r62 300 N 
21941.0000 M247 155903 p44 r71 300 N 
22023.0000 M248 324175 p34 r61 300 N 
22110.0000 M249 104101 p38 r61 300 N 
22175.0000 M250 198634 p14 r75 300 N 
22268.0000 M251 340773 p18 r66 300 N 
22356.0000 M252 259552 p0 r62 300 N 
22471.0000 M253 396075 p5 r76 300 N 
22584.0000 M254 452026 p59 r72 300 N 
22665.0000 M255 477609 p58 r68 300 N 
22725.0000 M256 453856 p30 r65 300 N 
22826.0000 M257 107794 p39 r77 300 N 
22899.0000 M258 359903 p12 r60 300 N 
22968.0000 M259 385946 p48 r75 300 N 
23084.0000 M260 119460 p54 r66 300 N 
23182.0000 M261 358391 p55 r74 300 N 
23247.0000 M262 211007 p59 r76 300 N 
23315.0000 M263 247842 p24 r77 300 N 
23417.0000 M264 263073 p36 r67 300 N 
23527.0000 M265 377750 p27 r61 300 N 
23592.0000 M266 112093 p32 r76 300 N 
23676.0000 M267 265488 p20 r62 300 N 
23765.0000 M268 473962 p37 r75 300 N 
23838.0000 M269 118605 p21 r62 300 N 
23922.0000 M270 314974 p12 r73 300 N 
24007.0000 M271 442830 p20 r66 300 N 
24075.0000 M272 114868 p32 r64 300 N 
24140.0000 M273 491670 p0 r74 300 N 
24243.0000 M274 323463 p51 r71 300 N 
24306.0000 M275 398186 p28 r70 300 N 
24374.0000 M276 320468 p31 r60 300 N 
24455.0000 M277 359312 p36 r60 300 N 
24549.0000 M278 449468 p58 r71 300 N 
24664.0000 M279 240400 p45 r67 300 N 
24729.0000 M280 238911 p42 r70 300 N 
24848.0000 M281 431861 p36 r71 300 N 
24938.0000 M282 394881 p16 r73 300 N 
25003.0000 M283 222733 p44 r63 300 N 
