# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
9628.0000 M94 393756 1 1224.0000 p26 r67 279 N p26->r67
9629.0000 M76 165606 1 2897.0000 p26 r67 251 N p26->r67
9632.0000 M62 264734 2 4140.0000 p44 r68 231 N p44->p57->r68
9684.0000 M99 399694 3 758.0000 p42 r78 287 N p42->p9->v87->r78
9776.0000 M90 338494 3 1742.0000 p36 r67 270 N p36->v83->v89->r67
9805.0000 M85 450749 1 2220.0000 p46 r66 263 N p46->r66
9980.0000 M65 190287 3 4208.0000 p34 r62 229 N p34->p32->p20->r62
10049.0000 M104 163634 3 715.0000 p38 r76 288 N p38->p10->p22->r76
10070.0000 M86 185022 2 2399.0000 p27 r71 260 N p27->p54->r71
10072.0000 M77 380783 2 3223.0000 p43 r71 246 N p43->p54->r71
10222.0000 M78 257377 2 3303.0000 p59 r65 244 N p59->v93->r65
10223.0000 M108 164851 3 536.0000 p35 r65 291 N p35->p30->v93->r65
10286.0000 M112 417153 2 244.0000 p38 r62 295 N p38->v93->r62
10426.0000 M91 123996 3 2307.0000 p58 r66 261 N p58->r75->p52->r66
10533.0000 M72 366893 2 4171.0000 p43 r73 230 N p43->r71->r73
10693.0000 M57 101479 1 5611.0000 p48 r66 206 N p48->r66
10706.0000 M116 268464 2 281.0000 p25 r62 295 N p25->v81->r62
10868.0000 M73 167791 3 4440.0000 p55 r70 226 N p55->p37->p13->r70
10894.0000 M55 328171 3 5973.0000 p37 r60 200 N p37->p21->v89->r60
10914.0000 M121 201626 2 59.0000 p24 r71 299 N p24->v90->r71
11023.0000 M119 386640 2 322.0000 p54 r77 294 N p54->v81->r77
11024.0000 M114 126370 2 805.0000 p14 r77 286 N p14->v81->r77
11204.0000 M122 275987 2 273.0000 p0 r72 295 N p0->v84->r72
11205.0000 M93 219389 1 2882.0000 p58 r63 251 N p58->r63
11209.0000 M107 490865 2 1609.0000 p49 r75 273 N p49->p50->r75
11372.0000 M109 385889 2 1590.0000 p27 r79 273 N p27->v82->r79
11457.0000 M102 346401 2 2300.0000 p47 r63 261 N p47->v93->r63
11668.0000 M123 414169 3 656.0000 p37 r67 289 N p37->v85->v89->r67
11678.0000 M113 482169 2 1531.0000 p53 r62 274 N p53->p15->r62
11683.0000 M103 498087 2 2434.0000 p32 r66 259 N p32->v85->r66
11686.0000 M100 346890 2 2672.0000 p0 r67 255 N p0->v85->r67
11778.0000 M126 312443 2 454.0000 p37 r68 292 N p37->r65->r68
11843.0000 M128 224055 3 367.0000 p0 r71 293 N p0->r68->v83->r71
12012.0000 M115 404649 2 1699.0000 p31 r78 271 N p31->v87->r78
12371.0000 M125 270651 3 1145.0000 p57 r64 280 N p57->v85->v83->r64
12413.0000 M117 253518 2 1917.0000 p44 r76 268 N p44->v81->r76
12504.0000 M110 141039 2 2642.0000 p32 r77 255 N p32->p39->r77
12542.0000 M105 147816 2 3146.0000 p1 r75 247 N p1->v81->r75
12635.0000 M124 129639 2 1504.0000 p4 r76 274 N p4->v91->r76
12763.0000 M129 360878 3 1177.0000 p5 r72 280 N p5->v80->p53->r72
12802.0000 M131 342886 2 1064.0000 p58 r73 282 N p58->v84->r73
12914.0000 M88 407417 2 5055.0000 p19 r60 215 N p19->v91->r60
12990.0000 M140 192720 2 417.0000 p24 r61 293 N p24->v94->r61
13063.0000 M138 239621 2 703.0000 p8 r64 288 N p8->r60->r64
13126.0000 M146 305487 1 2.0000 p10 r69 299 N p10->r69
13149.0000 M111 287512 2 3199.0000 p46 r65 246 N p46->v87->r65
13428.0000 M135 187682 3 1314.0000 p56 r62 278 N p56->r65->p15->r62
13679.0000 M143 331013 2 834.0000 p44 r68 286 N p44->p26->r68
13948.0000 M136 183655 2 1740.0000 p21 r66 271 N p21->v83->r66
13989.0000 M118 190380 3 3402.0000 p6 r60 243 N p6->p33->r76->r60
14045.0000 M98 171931 2 5236.0000 p54 r61 212 N p54->v86->r61
14123.0000 M149 486647 2 736.0000 p50 r61 287 N p50->r78->r61
14281.0000 M127 206002 3 2892.0000 p10 r76 251 N p10->p7->p28->r76
14291.0000 M106 112689 2 4795.0000 p10 r61 220 N p10->p5->r61
14311.0000 M144 363690 1 1356.0000 p29 r72 277 N p29->r72
14513.0000 M156 288589 2 479.0000 p19 r74 292 N p19->v83->r74
14530.0000 M132 365115 2 2676.0000 p50 r71 255 N p50->v89->r71
14532.0000 M148 325450 3 1254.0000 p5 r71 279 N p5->r78->v89->r71
14840.0000 M120 324342 2 4047.0000 p8 r77 232 N p8->r66->r77
15042.0000 M160 481657 2 636.0000 p33 r67 289 N p33->v87->r67
15060.0000 M164 272765 2 340.0000 p0 r61 294 N p0->v85->r61
15081.0000 M150 119739 2 1619.0000 p51 r60 273 N p51->v83->r60
15095.0000 M162 239285 2 559.0000 p59 r71 290 N p59->v88->r71
15179.0000 M157 460115 2 1066.0000 p37 r64 282 N p37->v83->r64
15239.0000 M152 338468 1 1581.0000 p42 r68 273 N p42->r68
15257.0000 M166 227967 2 350.0000 p52 r79 294 N p52->v85->r79
15313.0000 M134 156159 2 3305.0000 p5 r70 244 N p5->v92->r70
